[INFO] [1789097395.493044301] [lidar_inertial_odometer]: lidar_inertial_odometer ready (point-to-plane ICP)
[INFO] [1789097395.493128136] [lidar_inertial_odometer]:   topics : lidar='/points_raw' imu='/imu_raw'
[INFO] [1789097395.493136239] [lidar_inertial_odometer]:   frames : odom -> imu_link -> velodyne
[INFO] [1789097395.493142202] [lidar_inertial_odometer]:   ring   : selection=all band=[30,63] -> 34/64 ch (dropped 0 above + 30 below)
[INFO] [1789097395.493149136] [lidar_inertial_odometer]:   normal : loam_curvature
[INFO] [1789097401.019136827] [lidar_inertial_odometer]: static TF imu_link -> velodyne : t=[0.8105 -0.3071 0.8027]
[INFO] [1789097406.091298661] [lidar_inertial_odometer]: odometer initialized (t=1317400963.391)
[lio] initialized at t=1317400963.390639 | |a|=9.844 m/s^2
[lio] t=1317401059.898 | feat 3625/8160 | map   2858 | icp ok  iter  9 corr  3084 rms 0.0357   41.75 ms | p=(  169.45  -130.37   6.62) v=8.17 m/s
[lio] t=1317401060.002 | feat 3778/8160 | map   2858 | icp ok  iter  5 corr  3118 rms 0.0344   20.72 ms | p=(  169.26  -129.34   6.65) v=9.17 m/s [KF]
[lio] t=1317401060.106 | feat 3843/8160 | map   2966 | icp ok  iter  6 corr  3220 rms 0.0328   23.15 ms | p=(  169.12  -128.52   6.67) v=8.34 m/s
[lio] t=1317401060.210 | feat 3834/8160 | map   2966 | icp ok  iter 12 corr  3230 rms 0.0530   60.66 ms | p=(  169.09  -128.20   6.68) v=4.99 m/s [KF]
[lio] t=1317401060.313 | feat 4065/8160 | map   3052 | icp ok  iter 10 corr  3369 rms 0.0318   46.43 ms | p=(  168.85  -126.96   6.70) v=9.24 m/s [KF]
[lio] t=1317401060.417 | feat 3880/8160 | map   3121 | icp ok  iter  6 corr  3237 rms 0.0380   25.64 ms | p=(  168.70  -126.12   6.73) v=8.54 m/s
[lio] t=1317401060.521 | feat 4011/8160 | map   3121 | icp ok  iter  4 corr  3260 rms 0.0483   20.28 ms | p=(  168.53  -125.23   6.75) v=8.54 m/s [KF]
[lio] t=1317401060.625 | feat 3980/8160 | map   3198 | icp ok  iter  6 corr  3333 rms 0.0269   28.57 ms | p=(  168.40  -124.49   6.76) v=7.67 m/s
[lio] t=1317401060.728 | feat 3898/8160 | map   3198 | icp ok  iter  4 corr  3118 rms 0.0319   16.99 ms | p=(  168.25  -123.67   6.78) v=7.84 m/s [KF]
[lio] t=1317401060.832 | feat 4003/8160 | map   3296 | icp ok  iter  4 corr  3225 rms 0.0274   17.92 ms | p=(  168.08  -122.87   6.79) v=7.75 m/s
[lio] t=1317401060.936 | feat 4140/8160 | map   3296 | icp ok  iter  4 corr  3298 rms 0.0276   17.70 ms | p=(  167.93  -122.10   6.81) v=7.55 m/s [KF]
[lio] t=1317401061.040 | feat 3946/8160 | map   3435 | icp ok  iter  5 corr  3142 rms 0.0245   20.20 ms | p=(  167.77  -121.32   6.82) v=7.45 m/s
[lio] t=1317401061.144 | feat 4032/8160 | map   3435 | icp ok  iter  3 corr  3167 rms 0.0284   14.44 ms | p=(  167.61  -120.61   6.83) v=7.11 m/s [KF]
[lio] t=1317401061.247 | feat 3991/8160 | map   3601 | icp ok  iter  3 corr  3119 rms 0.0328   11.68 ms | p=(  167.45  -119.87   6.84) v=7.05 m/s
[lio] t=1317401061.351 | feat 3972/8160 | map   3601 | icp ok  iter  5 corr  3107 rms 0.0288   19.24 ms | p=(  167.32  -119.19   6.85) v=6.69 m/s [KF]
[lio] t=1317401061.455 | feat 3998/8160 | map   3753 | icp ok  iter  4 corr  3099 rms 0.0215   16.92 ms | p=(  167.16  -118.49   6.86) v=6.70 m/s
[lio] t=1317401061.559 | feat 3983/8160 | map   3753 | icp ok  iter  3 corr  2869 rms 0.0245   13.33 ms | p=(  167.02  -117.81   6.88) v=6.50 m/s [KF]
[lio] t=1317401061.663 | feat 4113/8160 | map   3909 | icp ok  iter  3 corr  3127 rms 0.0323   13.34 ms | p=(  166.89  -117.15   6.88) v=6.39 m/s
[lio] t=1317401061.767 | feat 4125/8160 | map   3909 | icp ok  iter  4 corr  3160 rms 0.0505   15.80 ms | p=(  166.75  -116.51   6.89) v=6.29 m/s [KF]
[lio] t=1317401061.871 | feat 4118/8160 | map   4045 | icp ok  iter  5 corr  3221 rms 0.0276   21.17 ms | p=(  166.65  -115.87   6.89) v=6.20 m/s
[lio] t=1317401061.976 | feat 4142/8160 | map   4045 | icp ok  iter  4 corr  3155 rms 0.0236   15.47 ms | p=(  166.54  -115.23   6.89) v=6.24 m/s [KF]
[lio] t=1317401062.080 | feat 4093/8160 | map   4170 | icp ok  iter  4 corr  3105 rms 0.0261   16.20 ms | p=(  166.44  -114.57   6.90) v=6.28 m/s
[lio] t=1317401062.184 | feat 4029/8160 | map   4170 | icp ok  iter  4 corr  3034 rms 0.0367   14.87 ms | p=(  166.38  -113.94   6.92) v=6.12 m/s [KF]
[lio] t=1317401062.288 | feat 3984/8160 | map   4300 | icp ok  iter  4 corr  3046 rms 0.0242   14.85 ms | p=(  166.33  -113.32   6.94) v=5.99 m/s
[lio] t=1317401062.393 | feat 3900/8160 | map   4300 | icp ok  iter  4 corr  2924 rms 0.0418   14.68 ms | p=(  166.29  -112.66   6.94) v=6.14 m/s [KF]
[lio] t=1317401062.497 | feat 4292/8160 | map   4408 | icp ok  iter  5 corr  3247 rms 0.0327   21.15 ms | p=(  166.28  -112.06   6.95) v=5.88 m/s
[lio] t=1317401062.602 | feat 4122/8160 | map   4408 | icp ok  iter  4 corr  3121 rms 0.0334   16.62 ms | p=(  166.30  -111.43   6.97) v=5.97 m/s [KF]
[lio] t=1317401062.706 | feat 4135/8160 | map   4540 | icp ok  iter  4 corr  3146 rms 0.0449   18.35 ms | p=(  166.33  -110.81   7.01) v=5.91 m/s
[lio] t=1317401062.810 | feat 4058/8160 | map   4540 | icp ok  iter  5 corr  3080 rms 0.0374   21.25 ms | p=(  166.46  -110.20   7.03) v=5.88 m/s [KF]
[lio] t=1317401062.915 | feat 3938/8160 | map   4650 | icp ok  iter  6 corr  3005 rms 0.0323   29.81 ms | p=(  166.45  -109.65   7.02) v=5.44 m/s
[lio] t=1317401063.019 | feat 3976/8160 | map   4650 | icp ok  iter  3 corr  3057 rms 0.0353   15.22 ms | p=(  166.50  -109.09   7.02) v=5.40 m/s [KF]
[lio] t=1317401063.123 | feat 4219/8160 | map   4775 | icp ok  iter  4 corr  3238 rms 0.0508   19.02 ms | p=(  166.69  -108.49   7.04) v=5.74 m/s
[lio] t=1317401063.227 | feat 4194/8160 | map   4775 | icp ok  iter  4 corr  3076 rms 0.0368   15.41 ms | p=(  166.89  -107.95   7.05) v=5.65 m/s [KF]
[lio] t=1317401063.332 | feat 4340/8160 | map   4905 | icp ok  iter  4 corr  3458 rms 0.0281   17.15 ms | p=(  167.10  -107.32   7.05) v=6.11 m/s
[lio] t=1317401063.436 | feat 4419/8160 | map   4905 | icp ok  iter  4 corr  3390 rms 0.0581   19.18 ms | p=(  167.35  -106.67   7.05) v=6.47 m/s [KF]
[lio] t=1317401063.540 | feat 4370/8160 | map   4999 | icp ok  iter  3 corr  3443 rms 0.0332   15.59 ms | p=(  167.64  -106.10   7.07) v=6.30 m/s
[lio] t=1317401063.644 | feat 4345/8160 | map   4999 | icp ok  iter  5 corr  3379 rms 0.0312   22.07 ms | p=(  167.92  -105.57   7.08) v=5.93 m/s [KF]
[lio] t=1317401063.748 | feat 4293/8160 | map   5068 | icp ok  iter  4 corr  3420 rms 0.0329   19.43 ms | p=(  168.26  -104.98   7.10) v=6.36 m/s
[lio] t=1317401063.851 | feat 4172/8160 | map   5068 | icp ok  iter  4 corr  3246 rms 0.0315   17.69 ms | p=(  168.62  -104.40   7.11) v=6.50 m/s [KF]
[lio] t=1317401063.955 | feat 3969/8160 | map   5152 | icp ok  iter  4 corr  3220 rms 0.0467   16.95 ms | p=(  168.98  -103.84   7.14) v=6.46 m/s
[lio] t=1317401064.059 | feat 4044/8160 | map   5152 | icp ok  iter  4 corr  3174 rms 0.0268   17.29 ms | p=(  169.39  -103.32   7.16) v=6.46 m/s [KF]
[lio] t=1317401064.163 | feat 3997/8160 | map   5264 | icp ok  iter  4 corr  3304 rms 0.0210   15.94 ms | p=(  169.80  -102.79   7.19) v=6.48 m/s
[lio] t=1317401064.267 | feat 4067/8160 | map   5264 | icp ok  iter  4 corr  3281 rms 0.0249   17.08 ms | p=(  170.21  -102.27   7.20) v=6.50 m/s [KF]
[lio] t=1317401064.371 | feat 4294/8160 | map   5404 | icp ok  iter  7 corr  3568 rms 0.0309   33.64 ms | p=(  170.68  -101.72   7.23) v=6.77 m/s
[lio] t=1317401064.475 | feat 4085/8160 | map   5404 | icp ok  iter  4 corr  3325 rms 0.0254   16.16 ms | p=(  171.15  -101.21   7.26) v=6.77 m/s [KF]
[lio] t=1317401064.578 | feat 4199/8160 | map   5493 | icp ok  iter  6 corr  3538 rms 0.0275   31.21 ms | p=(  171.62  -100.71   7.27) v=6.71 m/s
[lio] t=1317401064.682 | feat 4239/8160 | map   5493 | icp ok  iter  5 corr  3504 rms 0.0300   28.56 ms | p=(  172.16  -100.19   7.30) v=7.07 m/s [KF]
[lio] t=1317401064.786 | feat 4243/8160 | map   5641 | icp ok  iter  3 corr  3586 rms 0.0245   16.74 ms | p=(  172.69   -99.74   7.33) v=6.87 m/s
[lio] t=1317401064.890 | feat 4208/8160 | map   5641 | icp ok  iter 11 corr  3556 rms 0.0304   64.46 ms | p=(  173.25   -99.04   7.35) v=7.89 m/s [KF]
[lio] t=1317401064.994 | feat 4328/8160 | map   5807 | icp ok  iter  6 corr  3758 rms 0.0275   33.69 ms | p=(  173.86   -98.81   7.37) v=6.79 m/s
[lio] t=1317401065.098 | feat 4193/8160 | map   5807 | icp ok  iter  5 corr  3590 rms 0.0258   21.80 ms | p=(  174.50   -98.49   7.39) v=6.90 m/s [KF]
[lio] t=1317401065.202 | feat 3981/8160 | map   5958 | icp ok  iter  5 corr  3414 rms 0.0275   26.74 ms | p=(  175.11   -98.05   7.42) v=7.16 m/s
[lio] t=1317401065.306 | feat 3953/8160 | map   5958 | icp ok  iter 12 corr  3454 rms 0.0290   64.06 ms | p=(  175.79   -97.64   7.43) v=7.48 m/s [KF]
[lio] t=1317401065.410 | feat 3651/8160 | map   6029 | icp ok  iter  5 corr  3265 rms 0.0353   25.47 ms | p=(  176.46   -97.24   7.47) v=7.48 m/s
[lio] t=1317401065.514 | feat 3388/8160 | map   6029 | icp ok  iter 12 corr  3008 rms 0.0338   56.64 ms | p=(  177.10   -96.68   7.49) v=7.88 m/s [KF]
[lio] t=1317401065.618 | feat 3406/8160 | map   6061 | icp ok  iter  8 corr  3018 rms 0.0292   34.61 ms | p=(  177.89   -96.59   7.51) v=7.58 m/s
[lio] t=1317401065.722 | feat 3400/8160 | map   6061 | icp ok  iter  6 corr  3023 rms 0.0266   25.47 ms | p=(  178.66   -96.26   7.53) v=7.90 m/s [KF]
[lio] t=1317401065.826 | feat 3484/8160 | map   6093 | icp ok  iter  5 corr  3068 rms 0.0294   23.27 ms | p=(  179.39   -95.85   7.54) v=7.99 m/s
[lio] t=1317401065.930 | feat 3133/8160 | map   6093 | icp ok  iter  8 corr  2734 rms 0.0422   33.37 ms | p=(  180.21   -95.54   7.57) v=8.25 m/s [KF]
[lio] t=1317401066.033 | feat 3550/8160 | map   6160 | icp ok  iter  7 corr  3048 rms 0.0331   33.49 ms | p=(  180.93   -95.56   7.58) v=7.38 m/s
[lio] t=1317401066.137 | feat 3446/8160 | map   6160 | icp ok  iter  5 corr  2912 rms 0.0314   21.68 ms | p=(  181.72   -95.41   7.59) v=7.64 m/s [KF]
[lio] t=1317401066.241 | feat 3363/8160 | map   6204 | icp ok  iter  6 corr  2920 rms 0.0237   21.92 ms | p=(  182.59   -95.32   7.60) v=8.17 m/s
[lio] t=1317401066.345 | feat 3214/8160 | map   6204 | icp ok  iter  6 corr  2776 rms 0.0352   24.64 ms | p=(  183.41   -95.11   7.63) v=8.19 m/s [KF]
[lio] t=1317401066.448 | feat 3224/8160 | map   6231 | icp ok  iter  4 corr  2776 rms 0.0442   18.04 ms | p=(  184.21   -94.82   7.66) v=8.20 m/s
[lio] t=1317401066.552 | feat 3058/8160 | map   6231 | icp ok  iter  5 corr  2640 rms 0.0323   19.15 ms | p=(  185.06   -94.77   7.69) v=8.22 m/s [KF]
[lio] t=1317401066.656 | feat 3096/8160 | map   6202 | icp ok  iter  6 corr  2704 rms 0.0402   25.47 ms | p=(  185.85   -94.45   7.71) v=8.20 m/s
[lio] t=1317401066.759 | feat 3058/8160 | map   6202 | icp ok  iter  6 corr  2614 rms 0.0368   22.97 ms | p=(  186.72   -94.34   7.75) v=8.35 m/s [KF]
[lio] t=1317401066.863 | feat 3020/8160 | map   6207 | icp ok  iter  7 corr  2668 rms 0.0279   23.06 ms | p=(  187.62   -94.25   7.74) v=8.58 m/s
[lio] t=1317401066.967 | feat 2788/8160 | map   6207 | icp ok  iter  6 corr  2392 rms 0.0277   21.46 ms | p=(  188.49   -94.00   7.77) v=8.70 m/s [KF]
[lio] t=1317401067.070 | feat 2771/8160 | map   6163 | icp ok  iter 12 corr  2436 rms 0.0264   40.77 ms | p=(  189.34   -93.93   7.80) v=8.45 m/s
[lio] t=1317401067.174 | feat 2906/8160 | map   6163 | icp ok  iter  5 corr  2631 rms 0.0357   19.01 ms | p=(  190.20   -93.76   7.82) v=8.50 m/s [KF]
[lio] t=1317401067.278 | feat 2924/8160 | map   6120 | icp ok  iter  8 corr  2668 rms 0.0323   28.15 ms | p=(  191.06   -93.75   7.82) v=8.41 m/s
[lio] t=1317401067.381 | feat 2873/8160 | map   6120 | icp ok  iter  5 corr  2518 rms 0.0502   16.74 ms | p=(  191.91   -93.42   7.85) v=8.54 m/s [KF]
[lio] t=1317401067.485 | feat 2784/8160 | map   6076 | icp ok  iter 12 corr  2484 rms 0.0318   34.76 ms | p=(  192.81   -93.24   7.87) v=8.73 m/s
[lio] t=1317401067.589 | feat 2757/8160 | map   6076 | icp ok  iter 12 corr  2465 rms 0.0399   46.53 ms | p=(  193.54   -92.84   7.88) v=8.28 m/s [KF]
[lio] t=1317401067.693 | feat 2664/8160 | map   6008 | icp ok  iter 12 corr  2262 rms 0.0262   37.73 ms | p=(  194.63   -92.95   7.89) v=9.41 m/s [KF]
[lio] t=1317401067.796 | feat 2610/8160 | map   5922 | icp ok  iter  7 corr  2265 rms 0.0338   23.44 ms | p=(  195.46   -92.69   7.90) v=8.72 m/s
[lio] t=1317401067.900 | feat 2547/8160 | map   5922 | icp ok  iter 12 corr  2188 rms 0.0281   37.21 ms | p=(  196.36   -92.53   7.93) v=8.79 m/s [KF]
[lio] t=1317401068.004 | feat 2622/8160 | map   5833 | icp ok  iter 12 corr  2250 rms 0.0223   40.78 ms | p=(  197.30   -92.45   7.95) v=8.97 m/s
[lio] t=1317401068.108 | feat 2545/8160 | map   5833 | icp ok  iter  7 corr  2105 rms 0.0449   21.44 ms | p=(  198.21   -92.13   7.96) v=9.14 m/s [KF]
[lio] t=1317401068.212 | feat 2616/8160 | map   5728 | icp ok  iter  7 corr  2165 rms 0.0373   17.91 ms | p=(  199.06   -92.02   7.98) v=8.62 m/s
[lio] t=1317401068.315 | feat 2443/8160 | map   5728 | icp ok  iter  5 corr  1978 rms 0.0305   11.66 ms | p=(  199.99   -91.83   8.01) v=8.90 m/s [KF]
[lio] t=1317401068.419 | feat 2435/8160 | map   5634 | icp ok  iter 12 corr  1982 rms 0.0427   32.45 ms | p=(  200.94   -91.74   8.04) v=9.08 m/s
[lio] t=1317401068.523 | feat 2475/8160 | map   5634 | icp ok  iter 12 corr  1988 rms 0.0621   28.28 ms | p=(  201.84   -91.55   8.05) v=8.95 m/s [KF]
[lio] t=1317401068.627 | feat 2296/8160 | map   5538 | icp ok  iter  8 corr  1860 rms 0.0356   21.91 ms | p=(  202.62   -91.35   8.08) v=8.20 m/s
[lio] t=1317401068.731 | feat 2343/8160 | map   5538 | icp ok  iter  6 corr  1900 rms 0.0437   15.89 ms | p=(  203.52   -91.22   8.10) v=8.52 m/s [KF]
[lio] t=1317401068.834 | feat 2366/8160 | map   5441 | icp ok  iter  6 corr  1989 rms 0.0353   17.39 ms | p=(  204.48   -91.07   8.13) v=9.03 m/s
[lio] t=1317401068.938 | feat 2427/8160 | map   5441 | icp ok  iter  5 corr  2052 rms 0.0436   12.90 ms | p=(  205.44   -90.86   8.15) v=9.26 m/s [KF]
[lio] t=1317401069.042 | feat 2371/8160 | map   5278 | icp ok  iter  4 corr  1964 rms 0.0342   10.42 ms | p=(  206.42   -90.71   8.17) v=9.40 m/s
[lio] t=1317401069.146 | feat 2270/8160 | map   5278 | icp ok  iter 12 corr  2047 rms 0.0274   29.12 ms | p=(  207.47   -90.52   8.19) v=9.95 m/s [KF]
[lio] t=1317401069.250 | feat 2237/8160 | map   4985 | icp ok  iter  5 corr  2049 rms 0.0357   12.76 ms | p=(  208.29   -90.40   8.21) v=8.70 m/s
[lio] t=1317401069.354 | feat 2292/8160 | map   4985 | icp ok  iter  5 corr  2057 rms 0.0361   11.91 ms | p=(  209.03   -90.27   8.21) v=7.78 m/s [KF]
[lio] t=1317401069.458 | feat 2390/8160 | map   4752 | icp ok  iter  6 corr  2061 rms 0.0298   15.17 ms | p=(  210.02   -90.10   8.22) v=8.93 m/s [KF]
[lio] t=1317401069.561 | feat 2640/8160 | map   4534 | icp ok  iter  6 corr  2484 rms 0.0333   19.13 ms | p=(  210.99   -89.90   8.23) v=9.26 m/s
[lio] t=1317401069.665 | feat 2553/8160 | map   4534 | icp ok  iter  6 corr  2388 rms 0.0291   19.51 ms | p=(  211.72   -89.78   8.24) v=7.91 m/s [KF]
[lio] t=1317401069.769 | feat 2541/8160 | map   4370 | icp ok  iter 12 corr  2378 rms 0.0432   43.92 ms | p=(  212.60   -89.64   8.27) v=8.31 m/s
[lio] t=1317401069.873 | feat 2320/8160 | map   4370 | icp ok  iter  6 corr  2164 rms 0.0452   18.26 ms | p=(  213.60   -89.48   8.28) v=9.13 m/s [KF]
[lio] t=1317401069.977 | feat 2570/8160 | map   4130 | icp ok  iter 11 corr  2414 rms 0.0331   38.81 ms | p=(  213.44   -89.52   8.28) v=2.56 m/s
[lio] t=1317401070.080 | feat 2538/8160 | map   4130 | icp ok  iter 12 corr  2365 rms 0.0385   39.36 ms | p=(  215.03   -89.24   8.30) v=10.45 m/s [KF]
[lio] t=1317401070.184 | feat 2279/8160 | map   3884 | icp ok  iter  7 corr  2167 rms 0.0472   21.69 ms | p=(  215.31   -89.19   8.33) v=5.73 m/s
[lio] t=1317401070.288 | feat 2354/8151 | map   3884 | icp ok  iter  6 corr  2199 rms 0.0447   18.76 ms | p=(  215.80   -89.12   8.34) v=5.16 m/s
[lio] t=1317401070.392 | feat 2468/8160 | map   3884 | icp REJ iter  9 corr  2290 rms 0.0433   28.53 ms | p=(  216.33   -89.03   8.36) v=5.11 m/s [KF]
[lio] t=1317401070.496 | feat 2506/8160 | map   3710 | icp ok  iter  9 corr  2353 rms 0.0377   28.10 ms | p=(  216.76   -88.96   8.39) v=4.51 m/s
[lio] t=1317401070.599 | feat 2605/8160 | map   3710 | icp ok  iter 12 corr  2437 rms 0.0440   40.29 ms | p=(  218.03   -88.74   8.42) v=9.31 m/s [KF]
[lio] t=1317401070.703 | feat 2744/8160 | map   3614 | icp ok  iter 12 corr  2583 rms 0.0623   37.85 ms | p=(  218.89   -88.59   8.43) v=8.73 m/s
[lio] t=1317401070.807 | feat 2765/8160 | map   3614 | icp ok  iter  4 corr  2473 rms 0.1079   14.40 ms | p=(  219.77   -88.43   8.42) v=8.65 m/s [KF]
[lio] t=1317401070.911 | feat 2865/8160 | map   3539 | icp ok  iter  6 corr  2641 rms 0.0754   21.42 ms | p=(  222.10   -88.01   8.45) v=17.19 m/s [KF]
[lio] t=1317401071.015 | feat 2763/8160 | map   3432 | icp ok  iter  4 corr  2501 rms 0.0345   13.11 ms | p=(  223.02   -87.84   8.46) v=12.23 m/s
[lio] t=1317401071.119 | feat 2794/8160 | map   3432 | icp ok  iter 12 corr  2443 rms 0.0547   37.68 ms | p=(  223.83   -87.69   8.48) v=9.61 m/s [KF]
[lio] t=1317401071.223 | feat 2848/8156 | map   3377 | icp ok  iter  4 corr  2654 rms 0.0295   10.80 ms | p=(  224.60   -87.55   8.49) v=8.32 m/s
[lio] t=1317401071.327 | feat 2995/8160 | map   3377 | icp ok  iter  5 corr  2759 rms 0.0373   15.81 ms | p=(  225.44   -87.40   8.49) v=8.25 m/s [KF]
[lio] t=1317401071.430 | feat 2723/8160 | map   3311 | icp ok  iter  6 corr  2511 rms 0.0357   22.09 ms | p=(  226.65   -87.17   8.50) v=10.43 m/s [KF]
[lio] t=1317401071.534 | feat 2882/8160 | map   3208 | icp ok  iter 10 corr  2616 rms 0.0493   34.62 ms | p=(  226.56   -87.19   8.49) v=3.54 m/s
[lio] t=1317401071.638 | feat 2830/8160 | map   3208 | icp REJ iter 12 corr  2632 rms 0.0488   41.42 ms | p=(  226.92   -87.13   8.49) v=3.54 m/s
[lio] t=1317401071.742 | feat 2881/8160 | map   3208 | icp ok  iter 12 corr  2634 rms 0.0441   41.48 ms | p=(  226.57   -87.18   8.49) v=0.73 m/s
[lio] t=1317401071.846 | feat 2903/8160 | map   3208 | icp ok  iter 12 corr  2615 rms 0.0379   41.49 ms | p=(  225.32   -87.42   8.49) v=7.74 m/s [KF]
[lio] t=1317401071.950 | feat 2764/8160 | map   3173 | icp REJ iter 12 corr  2565 rms 0.0344   49.72 ms | p=(  224.53   -87.57   8.48) v=7.75 m/s
[lio] t=1317401072.054 | feat 2869/8160 | map   3173 | icp ok  iter 12 corr  2645 rms 0.0458   90.80 ms | p=(  223.72   -87.72   8.47) v=7.89 m/s [KF]
[lio] t=1317401072.158 | feat 2802/8160 | map   3108 | icp REJ iter 12 corr  2590 rms 0.0347   47.15 ms | p=(  222.91   -87.87   8.45) v=7.90 m/s
[lio] t=1317401072.262 | feat 2854/8160 | map   3108 | icp REJ iter 12 corr  2690 rms 0.0333   47.48 ms | p=(  222.10   -88.02   8.45) v=7.91 m/s [KF]
[lio] t=1317401072.366 | feat 2973/8160 | map   3075 | icp REJ iter  7 corr  2699 rms 0.0389   25.07 ms | p=(  221.29   -88.18   8.43) v=7.93 m/s
[lio] t=1317401072.470 | feat 2754/8160 | map   3075 | icp REJ iter 12 corr  2491 rms 0.0398   49.11 ms | p=(  220.48   -88.33   8.42) v=7.96 m/s [KF]
[lio] t=1317401072.574 | feat 2876/8160 | map   3082 | icp REJ iter 12 corr  2634 rms 0.0507   50.62 ms | p=(  219.67   -88.48   8.40) v=7.99 m/s
[lio] t=1317401072.678 | feat 2720/8160 | map   3082 | icp REJ iter 12 corr  2460 rms 0.0531   45.52 ms | p=(  218.85   -88.64   8.38) v=8.01 m/s [KF]
[lio] t=1317401072.781 | feat 2684/8160 | map   3107 | icp REJ iter 12 corr  2438 rms 0.0619   47.95 ms | p=(  218.03   -88.79   8.36) v=8.03 m/s
[lio] t=1317401072.885 | feat 2469/8160 | map   3107 | icp REJ iter 12 corr  2199 rms 0.0678   43.99 ms | p=(  217.21   -88.95   8.35) v=8.03 m/s [KF]
[lio] t=1317401072.989 | feat 2514/8160 | map   3091 | icp REJ iter 12 corr  2153 rms 0.0943   42.16 ms | p=(  216.39   -89.10   8.34) v=8.04 m/s
[lio] t=1317401073.093 | feat 2470/8160 | map   3091 | icp REJ iter 12 corr  2154 rms 0.1172   42.69 ms | p=(  215.57   -89.26   8.34) v=8.05 m/s [KF]
[lio] t=1317401073.197 | feat 2515/8160 | map   3096 | icp REJ iter 12 corr  2294 rms 0.1112   45.14 ms | p=(  214.75   -89.41   8.33) v=8.07 m/s
[lio] t=1317401073.301 | feat 2629/8160 | map   3096 | icp REJ iter 12 corr  2320 rms 0.1173   46.06 ms | p=(  213.92   -89.57   8.32) v=8.09 m/s [KF]
[lio] t=1317401073.405 | feat 2654/8160 | map   3120 | icp REJ iter 10 corr  2446 rms 0.0807   38.59 ms | p=(  213.09   -89.73   8.31) v=8.11 m/s
[lio] t=1317401073.509 | feat 2814/8160 | map   3120 | icp REJ iter 12 corr  2561 rms 0.0853   48.96 ms | p=(  212.27   -89.89   8.29) v=8.12 m/s [KF]
[lio] t=1317401073.613 | feat 2990/8160 | map   3151 | icp REJ iter  9 corr  2809 rms 0.0814   38.00 ms | p=(  211.44   -90.05   8.27) v=8.13 m/s
[lio] t=1317401073.717 | feat 2981/8160 | map   3151 | icp ok  iter 12 corr  2643 rms 0.1086   51.81 ms | p=(  211.12   -90.28   8.25) v=5.38 m/s [KF]
[lio] t=1317401073.821 | feat 3016/8160 | map   3178 | icp ok  iter 10 corr  2846 rms 0.0734   40.27 ms | p=(  211.97   -90.13   8.25) v=3.01 m/s
[lio] t=1317401073.925 | feat 3053/8160 | map   3178 | icp ok  iter  8 corr  2871 rms 0.0760   36.10 ms | p=(  212.77   -90.05   8.26) v=5.85 m/s [KF]
[lio] t=1317401074.029 | feat 3236/8160 | map   3220 | icp ok  iter  7 corr  3076 rms 0.0741   28.82 ms | p=(  213.60   -89.91   8.26) v=7.19 m/s
[lio] t=1317401074.133 | feat 3266/8160 | map   3220 | icp ok  iter 12 corr  3006 rms 0.0612   52.74 ms | p=(  214.43   -89.76   8.27) v=7.73 m/s [KF]
[lio] t=1317401074.237 | feat 3530/8160 | map   3276 | icp ok  iter  6 corr  3305 rms 0.0520   27.00 ms | p=(  215.23   -89.69   8.28) v=7.71 m/s
[lio] t=1317401074.341 | feat 3458/8160 | map   3276 | icp ok  iter 10 corr  3189 rms 0.0627   43.34 ms | p=(  216.06   -89.56   8.29) v=7.92 m/s [KF]
[lio] t=1317401074.445 | feat 3597/8160 | map   3386 | icp ok  iter  8 corr  3376 rms 0.0558   34.61 ms | p=(  216.89   -89.54   8.30) v=7.93 m/s
[lio] t=1317401074.549 | feat 3733/8160 | map   3386 | icp ok  iter  6 corr  3428 rms 0.0516   28.11 ms | p=(  217.67   -89.24   8.31) v=7.93 m/s [KF]
[lio] t=1317401074.653 | feat 3777/8160 | map   3519 | icp ok  iter  7 corr  3489 rms 0.0478   32.70 ms | p=(  218.53   -89.18   8.32) v=8.11 m/s
[lio] t=1317401074.756 | feat 4079/8160 | map   3519 | icp ok  iter 10 corr  3700 rms 0.0531   53.09 ms | p=(  219.35   -88.99   8.33) v=8.07 m/s [KF]
[lio] t=1317401074.860 | feat 4013/8160 | map   3650 | icp ok  iter  6 corr  3760 rms 0.0679   34.26 ms | p=(  220.17   -88.92   8.34) v=7.92 m/s
[lio] t=1317401074.964 | feat 4038/8160 | map   3650 | icp ok  iter  6 corr  3685 rms 0.0919   31.79 ms | p=(  220.99   -88.75   8.35) v=7.99 m/s [KF]
[lio] t=1317401075.068 | feat 4126/8160 | map   3789 | icp ok  iter 12 corr  3808 rms 0.0464   59.83 ms | p=(  221.80   -88.62   8.36) v=7.90 m/s
[lio] t=1317401075.172 | feat 4119/8160 | map   3789 | icp ok  iter  4 corr  3786 rms 0.0549   19.83 ms | p=(  222.62   -88.49   8.37) v=7.95 m/s [KF]
[lio] t=1317401075.276 | feat 4276/8160 | map   3955 | icp ok  iter  5 corr  4047 rms 0.0528   30.30 ms | p=(  223.45   -88.32   8.38) v=8.02 m/s
[lio] t=1317401075.380 | feat 4363/8160 | map   3955 | icp ok  iter  9 corr  4067 rms 0.0520   53.25 ms | p=(  224.21   -88.26   8.39) v=7.56 m/s [KF]
[lio] t=1317401075.484 | feat 4556/8160 | map   4080 | icp ok  iter  5 corr  4247 rms 0.0442   30.06 ms | p=(  225.03   -88.12   8.40) v=7.80 m/s
