[INFO] [1789097181.828523683] [lidar_inertial_odometer]: lidar_inertial_odometer ready (fused point-to-point + point-to-plane ICP)
[INFO] [1789097181.828594735] [lidar_inertial_odometer]:   topics : lidar='/points_raw' imu='/imu_raw'
[INFO] [1789097181.828602478] [lidar_inertial_odometer]:   frames : odom -> imu_link -> velodyne
[INFO] [1789097181.828608457] [lidar_inertial_odometer]:   ring   : selection=all band=[31,63] -> 33/64 ch (dropped 0 above + 31 below)
[INFO] [1789097181.828615629] [lidar_inertial_odometer]:   normal : neighborhood_pca
[INFO] [1789097181.828621018] [lidar_inertial_odometer]:   icp    : alpha (point) 0.01, beta (plane) 1, huber 0.2 m
[INFO] [1789097187.349946800] [lidar_inertial_odometer]: static TF imu_link -> velodyne : t=[0.8105 -0.3071 0.8027]
[INFO] [1789097195.776676145] [lidar_inertial_odometer]: odometer initialized (t=1317400964.327)
[lio] initialized at t=1317400964.326695 | |a|=9.843 m/s^2
[lio] t=1317401123.780 | feat 3283/9451 | map  17133 | icp ok  iter  3 corr  2467 rms 0.0383   12.95 ms | p=(  244.81   315.77 -13.77) v=9.48 m/s
[lio] t=1317401123.884 | feat 3309/9563 | map  17133 | icp ok  iter  3 corr  2395 rms 0.0442   12.84 ms | p=(  245.77   315.97 -13.78) v=9.38 m/s [KF]
[lio] t=1317401123.987 | feat 3307/9681 | map  16656 | icp ok  iter  4 corr  2415 rms 0.0388   16.23 ms | p=(  246.72   316.16 -13.80) v=9.28 m/s
[lio] t=1317401124.091 | feat 3264/9780 | map  16656 | icp ok  iter  4 corr  2363 rms 0.0537   16.91 ms | p=(  247.68   316.35 -13.80) v=9.30 m/s [KF]
[lio] t=1317401124.195 | feat 3180/9940 | map  16249 | icp ok  iter  5 corr  2282 rms 0.0509   21.06 ms | p=(  248.60   316.53 -13.82) v=9.08 m/s
[lio] t=1317401124.299 | feat 3217/10084 | map  16249 | icp ok  iter  3 corr  2267 rms 0.0476   11.95 ms | p=(  249.51   316.71 -13.83) v=8.93 m/s [KF]
[lio] t=1317401124.402 | feat 3291/10254 | map  15962 | icp ok  iter  4 corr  2339 rms 0.0488   15.38 ms | p=(  250.42   316.89 -13.84) v=8.82 m/s
[lio] t=1317401124.506 | feat 3217/10373 | map  15962 | icp ok  iter  4 corr  2202 rms 0.0539   16.10 ms | p=(  251.34   317.07 -13.85) v=8.89 m/s [KF]
[lio] t=1317401124.610 | feat 3409/10599 | map  15706 | icp ok  iter  6 corr  2379 rms 0.0460   24.71 ms | p=(  252.21   317.23 -13.86) v=8.60 m/s
[lio] t=1317401124.714 | feat 3412/10652 | map  15706 | icp ok  iter  4 corr  2346 rms 0.0603   16.89 ms | p=(  253.08   317.40 -13.87) v=8.48 m/s [KF]
[lio] t=1317401124.818 | feat 3370/10720 | map  15534 | icp ok  iter  4 corr  2288 rms 0.0421   18.35 ms | p=(  253.95   317.56 -13.88) v=8.47 m/s
[lio] t=1317401124.922 | feat 3267/10842 | map  15534 | icp ok  iter  4 corr  2123 rms 0.0462   15.83 ms | p=(  254.81   317.71 -13.88) v=8.36 m/s [KF]
[lio] t=1317401125.026 | feat 3337/10893 | map  15370 | icp ok  iter  3 corr  2273 rms 0.0500   13.21 ms | p=(  255.67   317.86 -13.89) v=8.26 m/s
[lio] t=1317401125.129 | feat 3532/10985 | map  15370 | icp ok  iter  4 corr  2400 rms 0.0564   18.11 ms | p=(  256.50   318.00 -13.90) v=8.09 m/s [KF]
[lio] t=1317401125.233 | feat 3310/11180 | map  15310 | icp ok  iter  4 corr  2212 rms 0.0472   16.90 ms | p=(  257.33   318.13 -13.91) v=7.96 m/s
[lio] t=1317401125.337 | feat 3229/11102 | map  15310 | icp ok  iter  4 corr  2071 rms 0.0543   15.04 ms | p=(  258.11   318.25 -13.92) v=7.67 m/s [KF]
[lio] t=1317401125.441 | feat 3417/11081 | map  15185 | icp ok  iter  5 corr  2315 rms 0.0555   21.89 ms | p=(  258.91   318.36 -13.92) v=7.68 m/s
[lio] t=1317401125.545 | feat 3322/11084 | map  15185 | icp ok  iter  4 corr  2193 rms 0.0511   16.34 ms | p=(  259.69   318.44 -13.92) v=7.51 m/s [KF]
[lio] t=1317401125.649 | feat 3379/10949 | map  15029 | icp ok  iter  4 corr  2354 rms 0.0515   17.27 ms | p=(  260.48   318.53 -13.93) v=7.47 m/s
[lio] t=1317401125.754 | feat 3341/10913 | map  15029 | icp ok  iter  3 corr  2293 rms 0.0630   11.76 ms | p=(  261.24   318.59 -13.94) v=7.33 m/s [KF]
[lio] t=1317401125.858 | feat 3260/10911 | map  15008 | icp ok  iter  4 corr  2261 rms 0.0548   14.44 ms | p=(  261.99   318.65 -13.95) v=7.16 m/s
[lio] t=1317401125.962 | feat 3354/11070 | map  15008 | icp ok  iter  5 corr  2329 rms 0.0577   20.81 ms | p=(  262.73   318.70 -13.94) v=7.06 m/s [KF]
[lio] t=1317401126.066 | feat 3355/11054 | map  14993 | icp ok  iter  4 corr  2414 rms 0.0658   18.14 ms | p=(  263.47   318.69 -13.93) v=6.95 m/s
[lio] t=1317401126.170 | feat 3430/11076 | map  14993 | icp ok  iter  4 corr  2488 rms 0.0636   18.42 ms | p=(  264.19   318.68 -13.93) v=6.84 m/s [KF]
[lio] t=1317401126.274 | feat 3421/11117 | map  15076 | icp ok  iter  5 corr  2533 rms 0.0697   26.03 ms | p=(  264.89   318.66 -13.92) v=6.71 m/s
[lio] t=1317401126.378 | feat 3518/11222 | map  15076 | icp ok  iter  4 corr  2596 rms 0.0697   21.36 ms | p=(  265.58   318.59 -13.91) v=6.66 m/s [KF]
[lio] t=1317401126.482 | feat 3428/11238 | map  15188 | icp ok  iter  5 corr  2557 rms 0.0698   25.10 ms | p=(  266.29   318.52 -13.90) v=6.66 m/s
[lio] t=1317401126.587 | feat 3679/11335 | map  15188 | icp ok  iter  4 corr  2827 rms 0.0745   23.78 ms | p=(  266.97   318.42 -13.89) v=6.52 m/s [KF]
[lio] t=1317401126.691 | feat 3596/11356 | map  15268 | icp ok  iter  5 corr  2740 rms 0.0804   28.05 ms | p=(  267.65   318.30 -13.87) v=6.51 m/s
[lio] t=1317401126.795 | feat 3675/11411 | map  15268 | icp ok  iter  4 corr  2806 rms 0.0706   22.72 ms | p=(  268.26   318.15 -13.85) v=6.12 m/s [KF]
[lio] t=1317401126.899 | feat 3723/11509 | map  15322 | icp ok  iter  5 corr  2913 rms 0.0821   30.02 ms | p=(  268.89   318.00 -13.85) v=6.06 m/s
[lio] t=1317401127.003 | feat 3581/11522 | map  15322 | icp ok  iter  4 corr  2840 rms 0.0768   25.35 ms | p=(  269.50   317.84 -13.83) v=6.01 m/s [KF]
[lio] t=1317401127.107 | feat 3530/11481 | map  15392 | icp ok  iter  4 corr  2810 rms 0.0682   23.82 ms | p=(  270.08   317.63 -13.83) v=5.87 m/s
[lio] t=1317401127.212 | feat 3507/11425 | map  15392 | icp ok  iter  4 corr  2857 rms 0.0856   23.99 ms | p=(  270.67   317.41 -13.80) v=5.91 m/s [KF]
[lio] t=1317401127.316 | feat 3588/11397 | map  15507 | icp ok  iter  4 corr  2992 rms 0.0932   24.39 ms | p=(  271.22   317.16 -13.79) v=5.82 m/s
[lio] t=1317401127.420 | feat 3552/11234 | map  15507 | icp ok  iter  4 corr  2934 rms 0.0785   23.85 ms | p=(  271.77   316.89 -13.75) v=5.81 m/s [KF]
[lio] t=1317401127.524 | feat 3542/11270 | map  15645 | icp ok  iter  4 corr  2986 rms 0.0659   24.46 ms | p=(  272.31   316.55 -13.73) v=5.95 m/s
[lio] t=1317401127.628 | feat 3346/11165 | map  15645 | icp ok  iter  4 corr  2768 rms 0.0554   21.67 ms | p=(  272.83   316.21 -13.70) v=5.89 m/s [KF]
[lio] t=1317401127.733 | feat 3297/11046 | map  15597 | icp ok  iter  4 corr  2752 rms 0.0538   21.90 ms | p=(  273.33   315.86 -13.68) v=5.83 m/s
[lio] t=1317401127.837 | feat 3319/10974 | map  15597 | icp ok  iter  4 corr  2774 rms 0.0662   22.43 ms | p=(  273.81   315.48 -13.64) v=5.79 m/s [KF]
[lio] t=1317401127.941 | feat 3466/10979 | map  15622 | icp ok  iter  5 corr  2931 rms 0.0573   27.19 ms | p=(  274.26   315.09 -13.62) v=5.71 m/s
[lio] t=1317401128.045 | feat 3293/10852 | map  15622 | icp ok  iter  5 corr  2776 rms 0.0554   26.55 ms | p=(  274.71   314.65 -13.57) v=5.87 m/s [KF]
[lio] t=1317401128.149 | feat 3472/10740 | map  15513 | icp ok  iter  6 corr  2985 rms 0.0631   33.10 ms | p=(  275.13   314.21 -13.54) v=5.87 m/s
[lio] t=1317401128.253 | feat 3507/10642 | map  15513 | icp ok  iter  5 corr  2939 rms 0.0661   29.07 ms | p=(  275.54   313.74 -13.49) v=5.92 m/s [KF]
[lio] t=1317401128.357 | feat 3486/10682 | map  15452 | icp ok  iter  5 corr  2904 rms 0.0557   27.91 ms | p=(  275.92   313.24 -13.45) v=6.03 m/s
[lio] t=1317401128.460 | feat 3451/10483 | map  15452 | icp ok  iter  5 corr  2770 rms 0.0579   26.71 ms | p=(  276.29   312.71 -13.42) v=6.12 m/s [KF]
[lio] t=1317401128.564 | feat 3488/10376 | map  15380 | icp ok  iter  6 corr  2941 rms 0.0565   31.49 ms | p=(  276.66   312.17 -13.37) v=6.24 m/s
[lio] t=1317401128.668 | feat 3231/10318 | map  15380 | icp ok  iter  4 corr  2705 rms 0.0654   20.99 ms | p=(  277.00   311.61 -13.32) v=6.30 m/s [KF]
[lio] t=1317401128.772 | feat 3257/10172 | map  15423 | icp ok  iter  3 corr  2803 rms 0.0681   16.26 ms | p=(  277.32   311.03 -13.27) v=6.33 m/s
[lio] t=1317401128.876 | feat 3283/9963 | map  15423 | icp ok  iter  4 corr  2699 rms 0.0698   20.98 ms | p=(  277.64   310.42 -13.23) v=6.57 m/s [KF]
[lio] t=1317401128.979 | feat 3182/9781 | map  15424 | icp ok  iter  4 corr  2660 rms 0.0626   21.01 ms | p=(  277.95   309.81 -13.20) v=6.62 m/s
[lio] t=1317401129.083 | feat 3139/9652 | map  15424 | icp ok  iter  6 corr  2566 rms 0.0801   31.07 ms | p=(  278.23   309.15 -13.15) v=6.81 m/s [KF]
[lio] t=1317401129.187 | feat 2985/9428 | map  15466 | icp ok  iter  5 corr  2600 rms 0.0661   24.70 ms | p=(  278.51   308.50 -13.09) v=6.85 m/s
[lio] t=1317401129.290 | feat 2824/9259 | map  15466 | icp ok  iter  5 corr  2440 rms 0.0844   24.02 ms | p=(  278.76   307.81 -13.04) v=7.00 m/s [KF]
[lio] t=1317401129.394 | feat 2836/9098 | map  15485 | icp ok  iter  5 corr  2526 rms 0.0790   23.89 ms | p=(  279.02   307.12 -12.99) v=7.10 m/s
[lio] t=1317401129.498 | feat 2670/8800 | map  15485 | icp ok  iter  5 corr  2352 rms 0.0942   22.84 ms | p=(  279.26   306.41 -12.93) v=7.20 m/s [KF]
[lio] t=1317401129.601 | feat 2538/8489 | map  15462 | icp ok  iter  4 corr  2271 rms 0.0720   17.27 ms | p=(  279.48   305.72 -12.88) v=7.12 m/s
[lio] t=1317401129.705 | feat 2367/8253 | map  15462 | icp ok  iter  5 corr  2118 rms 0.0732   20.69 ms | p=(  279.71   304.97 -12.83) v=7.42 m/s [KF]
[lio] t=1317401129.809 | feat 2364/8058 | map  15323 | icp ok  iter  5 corr  2156 rms 0.1156   20.08 ms | p=(  279.92   304.25 -12.77) v=7.35 m/s
[lio] t=1317401129.912 | feat 2166/7888 | map  15323 | icp ok  iter  7 corr  1953 rms 0.0978   24.48 ms | p=(  280.12   303.48 -12.72) v=7.55 m/s [KF]
[lio] t=1317401130.016 | feat 2198/7576 | map  15217 | icp ok  iter  4 corr  1982 rms 0.0888   14.68 ms | p=(  280.31   302.71 -12.66) v=7.68 m/s
[lio] t=1317401130.120 | feat 1951/7348 | map  15217 | icp ok  iter  5 corr  1739 rms 0.0801   16.34 ms | p=(  280.52   301.91 -12.61) v=7.86 m/s [KF]
[lio] t=1317401130.224 | feat 1806/7218 | map  15064 | icp ok  iter  5 corr  1597 rms 0.0793   14.39 ms | p=(  280.69   301.11 -12.56) v=7.93 m/s
[lio] t=1317401130.327 | feat 1673/6985 | map  15064 | icp ok  iter  6 corr  1484 rms 0.0745   16.18 ms | p=(  280.89   300.27 -12.50) v=8.16 m/s [KF]
[lio] t=1317401130.431 | feat 1730/6868 | map  14727 | icp ok  iter  4 corr  1553 rms 0.0840   11.79 ms | p=(  281.10   299.45 -12.45) v=8.22 m/s
[lio] t=1317401130.535 | feat 1578/6735 | map  14727 | icp ok  iter  4 corr  1371 rms 0.0884   10.24 ms | p=(  281.27   298.63 -12.39) v=8.14 m/s [KF]
[lio] t=1317401130.638 | feat 1715/6654 | map  14481 | icp ok  iter  8 corr  1554 rms 0.0854   23.55 ms | p=(  281.46   297.75 -12.33) v=8.50 m/s
[lio] t=1317401130.742 | feat 1644/6624 | map  14481 | icp ok  iter  4 corr  1463 rms 0.1113   11.29 ms | p=(  281.62   296.90 -12.26) v=8.43 m/s [KF]
[lio] t=1317401130.846 | feat 1650/6464 | map  14198 | icp ok  iter  4 corr  1456 rms 0.0841   10.96 ms | p=(  281.78   296.05 -12.21) v=8.37 m/s
[lio] t=1317401130.950 | feat 1385/6412 | map  14198 | icp ok  iter  5 corr  1203 rms 0.1137   11.31 ms | p=(  281.93   295.18 -12.15) v=8.43 m/s [KF]
[lio] t=1317401131.053 | feat 1543/6433 | map  13900 | icp ok  iter  4 corr  1321 rms 0.0793   10.27 ms | p=(  282.10   294.28 -12.09) v=8.64 m/s
[lio] t=1317401131.157 | feat 1406/6408 | map  13900 | icp ok  iter  4 corr  1168 rms 0.0767    8.75 ms | p=(  282.26   293.42 -12.02) v=8.55 m/s [KF]
[lio] t=1317401131.261 | feat 1377/6306 | map  13644 | icp ok  iter  3 corr  1181 rms 0.0660    7.12 ms | p=(  282.41   292.51 -11.96) v=8.70 m/s
[lio] t=1317401131.364 | feat 1462/6279 | map  13644 | icp ok  iter  4 corr  1225 rms 0.0780    9.06 ms | p=(  282.55   291.63 -11.90) v=8.66 m/s [KF]
[lio] t=1317401131.468 | feat 1398/6167 | map  13388 | icp ok  iter 12 corr  1172 rms 0.0751   25.74 ms | p=(  282.68   290.72 -11.83) v=8.74 m/s
[lio] t=1317401131.572 | feat 1468/6220 | map  13388 | icp ok  iter  4 corr  1245 rms 0.0774    9.95 ms | p=(  282.83   289.85 -11.76) v=8.58 m/s [KF]
[lio] t=1317401131.676 | feat 1443/6179 | map  13070 | icp ok  iter  6 corr  1221 rms 0.0682   12.61 ms | p=(  282.98   288.93 -11.69) v=8.80 m/s
[lio] t=1317401131.779 | feat 1305/6115 | map  13070 | icp ok  iter  5 corr  1064 rms 0.1534   10.45 ms | p=(  283.12   288.02 -11.64) v=8.83 m/s [KF]
[lio] t=1317401131.883 | feat 1261/6146 | map  12749 | icp ok  iter  4 corr  1015 rms 0.0787    7.10 ms | p=(  283.25   287.12 -11.57) v=8.77 m/s
[lio] t=1317401131.987 | feat 1192/6185 | map  12749 | icp ok  iter  4 corr   942 rms 0.0966    7.65 ms | p=(  283.39   286.25 -11.50) v=8.54 m/s [KF]
[lio] t=1317401132.090 | feat 1169/6237 | map  12406 | icp ok  iter  4 corr   940 rms 0.0749    6.53 ms | p=(  283.53   285.37 -11.42) v=8.52 m/s
[lio] t=1317401132.194 | feat 1260/6288 | map  12406 | icp ok  iter  7 corr  1023 rms 0.0750   12.56 ms | p=(  283.67   284.49 -11.34) v=8.53 m/s [KF]
[lio] t=1317401132.298 | feat 1165/6398 | map  12104 | icp ok  iter  4 corr   932 rms 0.0678    6.61 ms | p=(  283.82   283.58 -11.27) v=8.67 m/s
[lio] t=1317401132.402 | feat 1184/6414 | map  12104 | icp ok  iter  4 corr   943 rms 0.0816    7.02 ms | p=(  283.97   282.69 -11.19) v=8.67 m/s [KF]
[lio] t=1317401132.505 | feat 1196/6468 | map  11816 | icp ok  iter  5 corr   943 rms 0.0945    8.60 ms | p=(  284.13   281.81 -11.12) v=8.61 m/s
[lio] t=1317401132.609 | feat 1205/6354 | map  11816 | icp ok  iter  5 corr   942 rms 0.1190    9.02 ms | p=(  284.29   280.92 -11.04) v=8.60 m/s [KF]
[lio] t=1317401132.713 | feat 1297/6457 | map  11516 | icp ok  iter  4 corr  1040 rms 0.0667    8.01 ms | p=(  284.45   280.07 -10.98) v=8.39 m/s
[lio] t=1317401132.817 | feat 1270/6501 | map  11516 | icp ok  iter  5 corr   980 rms 0.0736    8.97 ms | p=(  284.62   279.17 -10.91) v=8.59 m/s [KF]
[lio] t=1317401132.920 | feat 1281/6586 | map  11330 | icp ok  iter  4 corr  1050 rms 0.0669    7.67 ms | p=(  284.80   278.32 -10.83) v=8.43 m/s
[lio] t=1317401133.024 | feat 1164/6633 | map  11330 | icp ok  iter  5 corr   932 rms 0.0578    8.06 ms | p=(  284.97   277.49 -10.77) v=8.18 m/s [KF]
[lio] t=1317401133.128 | feat 1062/6485 | map  11156 | icp ok  iter  5 corr   866 rms 0.0632    7.53 ms | p=(  285.15   276.60 -10.70) v=8.49 m/s
[lio] t=1317401133.232 | feat 1091/6457 | map  11156 | icp ok  iter  5 corr   898 rms 0.0704    7.55 ms | p=(  285.34   275.76 -10.63) v=8.33 m/s [KF]
[lio] t=1317401133.335 | feat 1204/6461 | map  10876 | icp ok  iter  7 corr   993 rms 0.0594   12.85 ms | p=(  285.54   274.86 -10.56) v=8.63 m/s
[lio] t=1317401133.439 | feat 1123/6491 | map  10876 | icp ok  iter  5 corr   891 rms 0.0792    9.14 ms | p=(  285.73   274.00 -10.49) v=8.49 m/s [KF]
[lio] t=1317401133.543 | feat 1143/6480 | map  10483 | icp ok  iter  5 corr   925 rms 0.0621    7.90 ms | p=(  285.91   273.16 -10.43) v=8.30 m/s
[lio] t=1317401133.647 | feat 1120/6348 | map  10483 | icp ok  iter  8 corr   898 rms 0.0860   13.15 ms | p=(  286.11   272.28 -10.36) v=8.51 m/s [KF]
[lio] t=1317401133.751 | feat 1188/6409 | map  10021 | icp ok  iter  4 corr   944 rms 0.0636    6.78 ms | p=(  286.29   271.47 -10.29) v=8.15 m/s
[lio] t=1317401133.855 | feat 1101/6351 | map  10021 | icp ok  iter  5 corr   834 rms 0.0821    7.18 ms | p=(  286.50   270.56 -10.22) v=8.62 m/s [KF]
[lio] t=1317401133.958 | feat 1165/6330 | map   9521 | icp ok  iter  4 corr   920 rms 0.0777    6.52 ms | p=(  286.70   269.71 -10.16) v=8.46 m/s
[lio] t=1317401134.062 | feat 1193/6154 | map   9521 | icp ok  iter  4 corr   971 rms 0.0747    6.95 ms | p=(  286.90   268.87 -10.09) v=8.33 m/s [KF]
[lio] t=1317401134.166 | feat 1231/6159 | map   8799 | icp ok  iter  5 corr  1009 rms 0.0552    8.94 ms | p=(  287.08   268.01 -10.02) v=8.35 m/s
[lio] t=1317401134.270 | feat 1171/6031 | map   8799 | icp ok  iter  4 corr   908 rms 0.0795    6.40 ms | p=(  287.27   267.16  -9.96) v=8.32 m/s [KF]
[lio] t=1317401134.374 | feat 1141/6196 | map   8031 | icp ok  iter  4 corr   899 rms 0.0818    6.82 ms | p=(  287.45   266.29  -9.89) v=8.45 m/s
[lio] t=1317401134.478 | feat 1185/6318 | map   8031 | icp ok  iter  4 corr   925 rms 0.0664    6.19 ms | p=(  287.63   265.41  -9.82) v=8.52 m/s [KF]
[lio] t=1317401134.582 | feat 1283/6264 | map   7772 | icp ok  iter  3 corr  1075 rms 0.0719    5.95 ms | p=(  287.82   264.55  -9.75) v=8.45 m/s
[lio] t=1317401134.685 | feat 1301/6342 | map   7772 | icp ok  iter  4 corr  1041 rms 0.0624    7.90 ms | p=(  287.99   263.70  -9.69) v=8.36 m/s [KF]
[lio] t=1317401134.789 | feat 1320/6391 | map   7558 | icp ok  iter  4 corr  1085 rms 0.0662    7.48 ms | p=(  288.16   262.84  -9.62) v=8.37 m/s
[lio] t=1317401134.893 | feat 1316/6464 | map   7558 | icp ok  iter  4 corr  1071 rms 0.0960    7.84 ms | p=(  288.34   261.98  -9.56) v=8.36 m/s [KF]
[lio] t=1317401134.997 | feat 1341/6656 | map   7342 | icp ok  iter  3 corr  1125 rms 0.0900    6.75 ms | p=(  288.51   261.11  -9.49) v=8.41 m/s
[lio] t=1317401135.101 | feat 1306/6762 | map   7342 | icp ok  iter  4 corr  1037 rms 0.0557    7.68 ms | p=(  288.66   260.27  -9.42) v=8.27 m/s [KF]
[lio] t=1317401135.204 | feat 1269/6895 | map   7173 | icp ok  iter  4 corr  1056 rms 0.0533    7.89 ms | p=(  288.84   259.41  -9.36) v=8.38 m/s
[lio] t=1317401135.308 | feat 1240/6863 | map   7173 | icp ok  iter  4 corr   980 rms 0.0764    7.25 ms | p=(  289.01   258.55  -9.29) v=8.35 m/s [KF]
[lio] t=1317401135.412 | feat 1230/6949 | map   7065 | icp ok  iter  3 corr  1014 rms 0.0604    5.50 ms | p=(  289.19   257.70  -9.22) v=8.30 m/s
[lio] t=1317401135.516 | feat 1340/6923 | map   7065 | icp ok  iter  3 corr  1062 rms 0.0735    6.15 ms | p=(  289.35   256.85  -9.15) v=8.32 m/s [KF]
[lio] t=1317401135.620 | feat 1224/6801 | map   7064 | icp ok  iter  3 corr   972 rms 0.0875    5.80 ms | p=(  289.53   256.00  -9.09) v=8.28 m/s
[lio] t=1317401135.723 | feat 1148/6774 | map   7064 | icp ok  iter  5 corr   894 rms 0.0807    7.88 ms | p=(  289.71   255.15  -9.02) v=8.29 m/s [KF]
[lio] t=1317401135.827 | feat 1075/6643 | map   7055 | icp ok  iter  4 corr   873 rms 0.0631    6.20 ms | p=(  289.91   254.32  -8.95) v=8.21 m/s
[lio] t=1317401135.931 | feat 1111/6589 | map   7055 | icp ok  iter  3 corr   897 rms 0.0693    5.10 ms | p=(  290.08   253.49  -8.90) v=8.17 m/s [KF]
[lio] t=1317401136.035 | feat 1250/6475 | map   7024 | icp ok  iter  4 corr  1040 rms 0.0619    7.17 ms | p=(  290.27   252.64  -8.83) v=8.25 m/s
[lio] t=1317401136.138 | feat 1210/6300 | map   7024 | icp ok  iter  5 corr   922 rms 0.0682    8.08 ms | p=(  290.45   251.78  -8.76) v=8.34 m/s [KF]
[lio] t=1317401136.242 | feat 1210/6248 | map   6999 | icp ok  iter  4 corr   976 rms 0.0804    6.78 ms | p=(  290.66   250.96  -8.71) v=8.12 m/s
[lio] t=1317401136.346 | feat 1157/6079 | map   6999 | icp ok  iter  4 corr   919 rms 0.0962    6.84 ms | p=(  290.85   250.10  -8.65) v=8.30 m/s [KF]
[lio] t=1317401136.450 | feat 1140/6025 | map   7003 | icp ok  iter  4 corr   898 rms 0.0674    6.44 ms | p=(  291.03   249.28  -8.60) v=8.14 m/s
[lio] t=1317401136.554 | feat 1183/5842 | map   7003 | icp ok  iter  4 corr   898 rms 0.0768    6.75 ms | p=(  291.22   248.44  -8.54) v=8.20 m/s [KF]
[lio] t=1317401136.657 | feat 1165/5735 | map   6989 | icp ok  iter  3 corr   909 rms 0.0690    4.71 ms | p=(  291.41   247.61  -8.48) v=8.11 m/s
[lio] t=1317401136.761 | feat 1248/5709 | map   6989 | icp ok  iter  3 corr   914 rms 0.0722    5.69 ms | p=(  291.58   246.79  -8.42) v=8.06 m/s [KF]
[lio] t=1317401136.865 | feat 1175/5562 | map   6934 | icp ok  iter  4 corr   904 rms 0.0546    6.62 ms | p=(  291.78   245.94  -8.36) v=8.19 m/s
[lio] t=1317401136.969 | feat 1124/5469 | map   6934 | icp ok  iter  4 corr   849 rms 0.0560    6.06 ms | p=(  291.97   245.14  -8.30) v=7.98 m/s [KF]
[lio] t=1317401137.073 | feat 1276/5462 | map   6966 | icp ok  iter  5 corr   971 rms 0.0791    8.70 ms | p=(  292.15   244.31  -8.25) v=8.08 m/s
[lio] t=1317401137.177 | feat 1306/5440 | map   6966 | icp ok  iter  5 corr   961 rms 0.1133    9.10 ms | p=(  292.32   243.49  -8.19) v=7.98 m/s [KF]
[lio] t=1317401137.280 | feat 1254/5424 | map   7059 | icp ok  iter  3 corr   940 rms 0.1134    5.06 ms | p=(  292.50   242.69  -8.13) v=7.91 m/s
[lio] t=1317401137.384 | feat 1243/5467 | map   7059 | icp ok  iter  4 corr   935 rms 0.0879    7.50 ms | p=(  292.69   241.87  -8.08) v=8.00 m/s [KF]
[lio] t=1317401137.488 | feat 1153/5369 | map   7062 | icp ok  iter  5 corr   849 rms 0.0668    8.04 ms | p=(  292.89   241.03  -8.02) v=8.14 m/s
[lio] t=1317401137.592 | feat 1211/5490 | map   7062 | icp ok  iter  4 corr   880 rms 0.1218    6.67 ms | p=(  293.08   240.23  -7.97) v=7.96 m/s [KF]
[lio] t=1317401137.696 | feat 1207/5564 | map   7116 | icp ok  iter  4 corr   857 rms 0.0635    6.31 ms | p=(  293.29   239.40  -7.91) v=8.07 m/s
[lio] t=1317401137.800 | feat 1194/5595 | map   7116 | icp ok  iter  5 corr   859 rms 0.0613    7.83 ms | p=(  293.46   238.59  -7.85) v=8.01 m/s [KF]
[lio] t=1317401137.904 | feat 1236/5639 | map   7126 | icp ok  iter  5 corr   902 rms 0.0897    8.96 ms | p=(  293.67   237.82  -7.80) v=7.82 m/s
[lio] t=1317401138.007 | feat 1217/5703 | map   7126 | icp ok  iter  7 corr   869 rms 0.0629   11.59 ms | p=(  293.87   236.93  -7.74) v=8.38 m/s [KF]
[lio] t=1317401138.111 | feat 1192/5729 | map   7083 | icp ok  iter  5 corr   879 rms 0.0925    7.32 ms | p=(  294.09   236.08  -7.68) v=8.40 m/s
[lio] t=1317401138.215 | feat 1191/5768 | map   7083 | icp ok  iter  4 corr   850 rms 0.0617    6.21 ms | p=(  294.29   235.26  -7.62) v=8.23 m/s [KF]
[lio] t=1317401138.319 | feat 1205/5840 | map   7071 | icp ok  iter  7 corr   865 rms 0.0766   10.58 ms | p=(  294.52   234.38  -7.56) v=8.56 m/s
[lio] t=1317401138.423 | feat 1151/5861 | map   7071 | icp ok  iter  7 corr   889 rms 0.0911   11.63 ms | p=(  294.70   233.61  -7.51) v=7.99 m/s [KF]
[lio] t=1317401138.527 | feat 1144/5934 | map   7071 | icp ok  iter  6 corr   844 rms 0.0980    9.16 ms | p=(  294.94   232.72  -7.45) v=8.53 m/s
[lio] t=1317401138.631 | feat 1060/5945 | map   7071 | icp ok  iter  6 corr   773 rms 0.0606    8.38 ms | p=(  295.15   231.90  -7.38) v=8.32 m/s [KF]
[lio] t=1317401138.735 | feat 1092/5938 | map   7053 | icp ok  iter  4 corr   813 rms 0.0583    5.99 ms | p=(  295.38   231.00  -7.32) v=8.69 m/s
[lio] t=1317401138.839 | feat 1092/5987 | map   7053 | icp ok  iter  6 corr   794 rms 0.0805    8.75 ms | p=(  295.60   230.15  -7.26) v=8.56 m/s [KF]
[lio] t=1317401138.943 | feat  986/5938 | map   7099 | icp ok  iter  5 corr   699 rms 0.0682    6.74 ms | p=(  295.82   229.25  -7.19) v=8.77 m/s
[lio] t=1317401139.047 | feat 1079/5973 | map   7099 | icp ok  iter  5 corr   785 rms 0.0633    7.98 ms | p=(  296.04   228.38  -7.13) v=8.68 m/s [KF]
[lio] t=1317401139.151 | feat 1043/5991 | map   7151 | icp ok  iter  6 corr   771 rms 0.1032    8.99 ms | p=(  296.28   227.42  -7.06) v=9.18 m/s
[lio] t=1317401139.255 | feat 1062/6019 | map   7151 | icp ok  iter  6 corr   780 rms 0.1089    8.57 ms | p=(  296.50   226.53  -7.00) v=8.96 m/s [KF]
