[INFO] [1789098119.323686397] [lidar_inertial_odometer]: lidar_inertial_odometer ready (point-to-point ICP)
[INFO] [1789098119.323825512] [lidar_inertial_odometer]:   topics : lidar='/points_raw' imu='/imu_raw'
[INFO] [1789098119.323834789] [lidar_inertial_odometer]:   frames : odom -> imu_link -> velodyne
[INFO] [1789098119.323840992] [lidar_inertial_odometer]:   ring   : selection=all band=[16,47] -> 32/64 ch (dropped 16 above + 16 below)
[INFO] [1789098119.323848039] [lidar_inertial_odometer]:   input  : voxelized points (no normal estimation)
[INFO] [1789098124.844418102] [lidar_inertial_odometer]: static TF imu_link -> velodyne : t=[0.8105 -0.3071 0.8027]
[INFO] [1789098129.904541426] [lidar_inertial_odometer]: odometer initialized (t=1317400963.391)
[lio] initialized at t=1317400963.390639 | |a|=9.844 m/s^2
[lio] t=1317401042.040 | feat 5400/62330 | map  23257 | icp ok  iter 50 corr  5391 rms 0.2874  333.40 ms | p=(  190.46  -302.40 -20.11) v=9.73 m/s [KF]
[lio] t=1317401042.144 | feat 5432/62176 | map  23168 | icp ok  iter 40 corr  5421 rms 0.3076  212.79 ms | p=(  190.40  -301.34 -19.99) v=10.03 m/s [KF]
[lio] t=1317401042.248 | feat 5224/61681 | map  23032 | icp ok  iter 33 corr  5224 rms 0.2444  200.27 ms | p=(  190.34  -300.49 -19.90) v=8.90 m/s
[lio] t=1317401042.352 | feat 5180/61039 | map  23032 | icp ok  iter 28 corr  5175 rms 0.3510  164.39 ms | p=(  190.27  -299.51 -19.78) v=9.26 m/s [KF]
[lio] t=1317401042.456 | feat 5151/60186 | map  23113 | icp ok  iter  9 corr  5145 rms 0.2080   50.18 ms | p=(  190.22  -298.56 -19.67) v=9.22 m/s
[lio] t=1317401042.560 | feat 5061/59158 | map  23113 | icp ok  iter 24 corr  5038 rms 0.2736  139.83 ms | p=(  190.08  -297.53 -19.54) v=9.75 m/s [KF]
[lio] t=1317401042.664 | feat 5013/58350 | map  22956 | icp ok  iter 18 corr  5013 rms 0.1941  119.96 ms | p=(  190.01  -296.70 -19.44) v=8.73 m/s
[lio] t=1317401042.768 | feat 4887/57724 | map  22956 | icp ok  iter 50 corr  4887 rms 0.2477  246.16 ms | p=(  189.94  -295.74 -19.33) v=9.03 m/s [KF]
[lio] t=1317401042.872 | feat 4760/57189 | map  22475 | icp ok  iter 33 corr  4757 rms 0.2430  180.71 ms | p=(  189.82  -294.69 -19.21) v=9.75 m/s [KF]
[lio] t=1317401042.976 | feat 4608/55854 | map  22030 | icp ok  iter 28 corr  4608 rms 0.2222  140.35 ms | p=(  189.71  -293.76 -19.12) v=9.32 m/s
[lio] t=1317401043.080 | feat 4404/54284 | map  22030 | icp ok  iter 26 corr  4404 rms 0.3204  120.51 ms | p=(  189.61  -292.71 -19.00) v=9.85 m/s [KF]
[lio] t=1317401043.184 | feat 4247/52164 | map  21457 | icp ok  iter 50 corr  4247 rms 0.2052  220.94 ms | p=(  189.49  -291.63 -18.88) v=10.27 m/s [KF]
[lio] t=1317401043.288 | feat 4081/51541 | map  20754 | icp ok  iter 26 corr  4080 rms 0.2301  120.73 ms | p=(  189.39  -290.73 -18.78) v=9.34 m/s
[lio] t=1317401043.392 | feat 3845/51827 | map  20754 | icp ok  iter 26 corr  3838 rms 0.4071   94.02 ms | p=(  189.29  -289.79 -18.68) v=9.22 m/s [KF]
[lio] t=1317401043.496 | feat 3712/51748 | map  20520 | icp ok  iter 35 corr  3712 rms 0.2582  135.61 ms | p=(  189.18  -288.74 -18.56) v=9.78 m/s [KF]
[lio] t=1317401043.600 | feat 3680/52027 | map  20372 | icp ok  iter 28 corr  3678 rms 0.2257  117.17 ms | p=(  189.04  -287.60 -18.43) v=10.62 m/s [KF]
[lio] t=1317401043.704 | feat 3588/53113 | map  20168 | icp ok  iter 18 corr  3588 rms 0.2293   67.72 ms | p=(  188.90  -286.46 -18.31) v=10.89 m/s [KF]
[lio] t=1317401043.808 | feat 3558/53850 | map  19949 | icp ok  iter 21 corr  3558 rms 0.2452   73.59 ms | p=(  188.78  -285.31 -18.19) v=11.06 m/s [KF]
[lio] t=1317401043.912 | feat 3398/54698 | map  19545 | icp ok  iter  4 corr  3398 rms 0.2556   14.49 ms | p=(  188.64  -284.17 -18.07) v=11.05 m/s [KF]
[lio] t=1317401044.016 | feat 3295/56732 | map  19174 | icp ok  iter 20 corr  3293 rms 0.3003   52.66 ms | p=(  188.52  -283.04 -17.95) v=11.01 m/s [KF]
[lio] t=1317401044.120 | feat 3371/58117 | map  18877 | icp ok  iter 24 corr  3370 rms 0.2703   76.51 ms | p=(  188.37  -281.87 -17.82) v=11.22 m/s [KF]
[lio] t=1317401044.224 | feat 3357/59258 | map  18633 | icp ok  iter  8 corr  3357 rms 0.2084   27.37 ms | p=(  188.25  -280.71 -17.70) v=11.29 m/s [KF]
[lio] t=1317401044.328 | feat 3425/59723 | map  18211 | icp ok  iter 11 corr  3424 rms 0.2293   38.07 ms | p=(  188.10  -279.52 -17.57) v=11.46 m/s [KF]
[lio] t=1317401044.432 | feat 3449/60112 | map  17889 | icp ok  iter  8 corr  3444 rms 0.2679   26.87 ms | p=(  187.96  -278.33 -17.44) v=11.48 m/s [KF]
[lio] t=1317401044.536 | feat 3451/60339 | map  17683 | icp ok  iter  7 corr  3448 rms 0.2589   21.84 ms | p=(  187.82  -277.15 -17.31) v=11.46 m/s [KF]
[lio] t=1317401044.640 | feat 3428/60229 | map  17295 | icp ok  iter  7 corr  3425 rms 0.2650   22.21 ms | p=(  187.68  -275.98 -17.19) v=11.40 m/s [KF]
[lio] t=1317401044.743 | feat 3405/59802 | map  16898 | icp ok  iter  8 corr  3404 rms 0.2356   26.94 ms | p=(  187.54  -274.80 -17.06) v=11.46 m/s [KF]
[lio] t=1317401044.847 | feat 3443/59003 | map  16708 | icp ok  iter 14 corr  3443 rms 0.2668   51.36 ms | p=(  187.39  -273.56 -16.92) v=11.76 m/s [KF]
[lio] t=1317401044.951 | feat 3452/57816 | map  16475 | icp ok  iter 15 corr  3452 rms 0.2745   52.26 ms | p=(  187.26  -272.40 -16.80) v=11.41 m/s [KF]
[lio] t=1317401045.055 | feat 3442/56738 | map  16243 | icp ok  iter  8 corr  3441 rms 0.2493   28.62 ms | p=(  187.13  -271.21 -16.67) v=11.44 m/s [KF]
[lio] t=1317401045.159 | feat 3493/54495 | map  15965 | icp ok  iter  7 corr  3491 rms 0.2137   23.49 ms | p=(  186.99  -270.03 -16.53) v=11.38 m/s [KF]
[lio] t=1317401045.263 | feat 3602/54103 | map  15681 | icp ok  iter 11 corr  3602 rms 0.2305   35.14 ms | p=(  186.86  -268.87 -16.40) v=11.29 m/s [KF]
[lio] t=1317401045.367 | feat 3587/55228 | map  15332 | icp ok  iter 11 corr  3587 rms 0.1948   41.34 ms | p=(  186.72  -267.68 -16.27) v=11.40 m/s [KF]
[lio] t=1317401045.471 | feat 3515/57297 | map  15077 | icp ok  iter  8 corr  3515 rms 0.2192   28.66 ms | p=(  186.58  -266.49 -16.14) v=11.37 m/s [KF]
[lio] t=1317401045.574 | feat 3402/59027 | map  14640 | icp ok  iter  5 corr  3402 rms 0.2904   16.12 ms | p=(  186.43  -265.33 -16.03) v=11.23 m/s [KF]
[lio] t=1317401045.678 | feat 3330/59189 | map  14329 | icp ok  iter 11 corr  3328 rms 0.3040   36.89 ms | p=(  186.29  -264.16 -15.92) v=11.24 m/s [KF]
[lio] t=1317401045.782 | feat 3263/59087 | map  13854 | icp ok  iter  7 corr  3259 rms 0.2982   22.92 ms | p=(  186.15  -263.00 -15.81) v=11.21 m/s [KF]
[lio] t=1317401045.886 | feat 3308/59480 | map  13579 | icp ok  iter 14 corr  3300 rms 0.2158   45.84 ms | p=(  186.01  -261.82 -15.69) v=11.28 m/s [KF]
[lio] t=1317401045.990 | feat 3387/60096 | map  13020 | icp ok  iter 12 corr  3384 rms 0.2491   40.94 ms | p=(  185.87  -260.63 -15.56) v=11.39 m/s [KF]
[lio] t=1317401046.094 | feat 3379/60382 | map  12795 | icp ok  iter  8 corr  3379 rms 0.2417   25.34 ms | p=(  185.74  -259.46 -15.43) v=11.34 m/s [KF]
[lio] t=1317401046.198 | feat 3406/60491 | map  12607 | icp ok  iter  9 corr  3406 rms 0.2841   30.92 ms | p=(  185.59  -258.28 -15.32) v=11.34 m/s [KF]
[lio] t=1317401046.302 | feat 3457/60434 | map  12460 | icp ok  iter 12 corr  3456 rms 0.3266   40.76 ms | p=(  185.45  -257.10 -15.19) v=11.37 m/s [KF]
[lio] t=1317401046.406 | feat 3519/60664 | map  12302 | icp ok  iter 10 corr  3512 rms 0.2799   39.14 ms | p=(  185.32  -255.87 -15.06) v=11.63 m/s [KF]
[lio] t=1317401046.509 | feat 3549/61109 | map  12201 | icp ok  iter  9 corr  3540 rms 0.2431   33.00 ms | p=(  185.19  -254.71 -14.94) v=11.37 m/s [KF]
[lio] t=1317401046.613 | feat 3715/61209 | map  12109 | icp ok  iter  9 corr  3704 rms 0.2829   31.95 ms | p=(  185.05  -253.54 -14.81) v=11.30 m/s [KF]
[lio] t=1317401046.717 | feat 3779/61137 | map  12218 | icp ok  iter  9 corr  3776 rms 0.3058   33.72 ms | p=(  184.91  -252.36 -14.69) v=11.33 m/s [KF]
[lio] t=1317401046.821 | feat 3882/61187 | map  12309 | icp ok  iter  9 corr  3879 rms 0.3417   32.27 ms | p=(  184.77  -251.19 -14.57) v=11.32 m/s [KF]
[lio] t=1317401046.924 | feat 3900/61331 | map  12451 | icp ok  iter  6 corr  3893 rms 0.2446   28.13 ms | p=(  184.63  -250.00 -14.45) v=11.42 m/s [KF]
[lio] t=1317401047.028 | feat 3916/61521 | map  12499 | icp ok  iter  5 corr  3913 rms 0.2310   22.26 ms | p=(  184.49  -248.83 -14.33) v=11.34 m/s [KF]
[lio] t=1317401047.132 | feat 3920/61617 | map  12527 | icp ok  iter  7 corr  3918 rms 0.2221   30.16 ms | p=(  184.34  -247.64 -14.22) v=11.43 m/s [KF]
[lio] t=1317401047.236 | feat 3933/61402 | map  12506 | icp ok  iter  9 corr  3933 rms 0.2515   32.94 ms | p=(  184.20  -246.47 -14.10) v=11.37 m/s [KF]
[lio] t=1317401047.339 | feat 3885/61016 | map  12514 | icp ok  iter 11 corr  3885 rms 0.2538   36.96 ms | p=(  184.06  -245.30 -13.99) v=11.31 m/s [KF]
[lio] t=1317401047.443 | feat 3867/60853 | map  12488 | icp ok  iter 12 corr  3864 rms 0.2931   48.35 ms | p=(  183.92  -244.10 -13.87) v=11.46 m/s [KF]
[lio] t=1317401047.547 | feat 3906/60840 | map  12604 | icp ok  iter  9 corr  3905 rms 0.3225   31.54 ms | p=(  183.78  -242.93 -13.75) v=11.34 m/s [KF]
[lio] t=1317401047.651 | feat 4033/61017 | map  12723 | icp ok  iter  7 corr  4030 rms 0.2279   26.70 ms | p=(  183.64  -241.76 -13.64) v=11.32 m/s [KF]
[lio] t=1317401047.754 | feat 4026/60785 | map  12796 | icp ok  iter  5 corr  4026 rms 0.2158   22.68 ms | p=(  183.50  -240.59 -13.52) v=11.32 m/s [KF]
[lio] t=1317401047.858 | feat 4082/60345 | map  12822 | icp ok  iter 22 corr  4082 rms 0.2244   83.89 ms | p=(  183.36  -239.40 -13.40) v=11.44 m/s [KF]
[lio] t=1317401047.962 | feat 4039/60279 | map  12917 | icp ok  iter  7 corr  4039 rms 0.1844   30.95 ms | p=(  183.21  -238.21 -13.29) v=11.46 m/s [KF]
[lio] t=1317401048.066 | feat 4030/59895 | map  12813 | icp ok  iter  6 corr  4029 rms 0.2285   23.44 ms | p=(  183.05  -237.04 -13.19) v=11.38 m/s [KF]
[lio] t=1317401048.169 | feat 3987/60497 | map  12700 | icp ok  iter  4 corr  3982 rms 0.2798   17.48 ms | p=(  182.91  -235.87 -13.09) v=11.27 m/s [KF]
[lio] t=1317401048.273 | feat 3968/60892 | map  12674 | icp ok  iter 15 corr  3963 rms 0.2810   62.72 ms | p=(  182.75  -234.65 -12.98) v=11.61 m/s [KF]
[lio] t=1317401048.377 | feat 3979/61220 | map  12718 | icp ok  iter  9 corr  3976 rms 0.2461   36.56 ms | p=(  182.61  -233.48 -12.88) v=11.38 m/s [KF]
[lio] t=1317401048.481 | feat 3947/61296 | map  12879 | icp ok  iter  8 corr  3947 rms 0.2015   29.39 ms | p=(  182.46  -232.31 -12.77) v=11.36 m/s [KF]
[lio] t=1317401048.585 | feat 3960/61193 | map  12908 | icp ok  iter  7 corr  3960 rms 0.2162   26.91 ms | p=(  182.33  -231.15 -12.66) v=11.29 m/s [KF]
[lio] t=1317401048.689 | feat 4036/61200 | map  13017 | icp ok  iter  5 corr  4036 rms 0.1863   25.65 ms | p=(  182.18  -229.96 -12.55) v=11.41 m/s [KF]
[lio] t=1317401048.792 | feat 4038/61033 | map  12992 | icp ok  iter 11 corr  4037 rms 0.2137   41.31 ms | p=(  182.03  -228.77 -12.45) v=11.41 m/s [KF]
[lio] t=1317401048.896 | feat 3908/60747 | map  13037 | icp ok  iter  8 corr  3908 rms 0.2603   30.16 ms | p=(  181.89  -227.60 -12.35) v=11.35 m/s [KF]
[lio] t=1317401049.000 | feat 3919/60768 | map  13106 | icp ok  iter 18 corr  3912 rms 0.2948   70.44 ms | p=(  181.75  -226.38 -12.24) v=11.62 m/s [KF]
[lio] t=1317401049.104 | feat 3868/60622 | map  13217 | icp ok  iter 12 corr  3867 rms 0.2569   45.55 ms | p=(  181.61  -225.21 -12.15) v=11.38 m/s [KF]
[lio] t=1317401049.207 | feat 3870/60375 | map  13266 | icp ok  iter  6 corr  3870 rms 0.2338   22.84 ms | p=(  181.46  -224.04 -12.04) v=11.38 m/s [KF]
[lio] t=1317401049.311 | feat 3891/60207 | map  13246 | icp ok  iter 10 corr  3891 rms 0.2068   37.06 ms | p=(  181.31  -222.86 -11.93) v=11.38 m/s [KF]
[lio] t=1317401049.415 | feat 3910/60190 | map  13222 | icp ok  iter 11 corr  3904 rms 0.2105   43.32 ms | p=(  181.16  -221.67 -11.84) v=11.44 m/s [KF]
[lio] t=1317401049.519 | feat 3881/60372 | map  13230 | icp ok  iter  7 corr  3879 rms 0.2383   24.98 ms | p=(  181.00  -220.50 -11.74) v=11.42 m/s [KF]
[lio] t=1317401049.623 | feat 3786/60667 | map  13235 | icp ok  iter  7 corr  3778 rms 0.2812   26.35 ms | p=(  180.85  -219.32 -11.64) v=11.37 m/s [KF]
[lio] t=1317401049.726 | feat 3814/60383 | map  13286 | icp ok  iter  8 corr  3812 rms 0.3154   29.27 ms | p=(  180.69  -218.14 -11.55) v=11.38 m/s [KF]
[lio] t=1317401049.830 | feat 3816/60463 | map  13346 | icp ok  iter  9 corr  3815 rms 0.2459   34.17 ms | p=(  180.54  -216.97 -11.45) v=11.39 m/s [KF]
[lio] t=1317401049.934 | feat 3755/60262 | map  13375 | icp ok  iter 21 corr  3755 rms 0.2339   74.90 ms | p=(  180.38  -215.77 -11.35) v=11.52 m/s [KF]
[lio] t=1317401050.038 | feat 3728/60223 | map  13423 | icp ok  iter 10 corr  3726 rms 0.2751   35.08 ms | p=(  180.23  -214.61 -11.25) v=11.33 m/s [KF]
[lio] t=1317401050.141 | feat 3625/60323 | map  13511 | icp ok  iter 11 corr  3609 rms 0.3735   42.87 ms | p=(  180.08  -213.40 -11.16) v=11.51 m/s [KF]
[lio] t=1317401050.245 | feat 3637/60586 | map  13722 | icp ok  iter  6 corr  3636 rms 0.2909   20.42 ms | p=(  179.93  -212.23 -11.07) v=11.42 m/s [KF]
[lio] t=1317401050.349 | feat 3639/60730 | map  13838 | icp ok  iter  8 corr  3639 rms 0.1825   29.49 ms | p=(  179.78  -211.04 -10.97) v=11.49 m/s [KF]
[lio] t=1317401050.453 | feat 3735/60851 | map  13797 | icp ok  iter 12 corr  3735 rms 0.2323   44.42 ms | p=(  179.63  -209.89 -10.87) v=11.28 m/s [KF]
[lio] t=1317401050.557 | feat 3770/61144 | map  13798 | icp ok  iter 18 corr  3750 rms 0.2136   70.11 ms | p=(  179.47  -208.69 -10.76) v=11.49 m/s [KF]
[lio] t=1317401050.660 | feat 3774/61246 | map  13727 | icp ok  iter  9 corr  3767 rms 0.3262   29.46 ms | p=(  179.31  -207.52 -10.67) v=11.38 m/s [KF]
[lio] t=1317401050.764 | feat 3763/61360 | map  13649 | icp ok  iter 11 corr  3762 rms 0.2770   37.41 ms | p=(  179.15  -206.34 -10.58) v=11.43 m/s [KF]
[lio] t=1317401050.868 | feat 3753/61507 | map  13586 | icp ok  iter  5 corr  3749 rms 0.2513   17.88 ms | p=(  179.00  -205.16 -10.49) v=11.41 m/s [KF]
[lio] t=1317401050.972 | feat 3832/61634 | map  13539 | icp ok  iter  8 corr  3831 rms 0.2266   27.87 ms | p=(  178.84  -203.99 -10.38) v=11.38 m/s [KF]
[lio] t=1317401051.076 | feat 3871/61584 | map  13546 | icp ok  iter  7 corr  3871 rms 0.2234   25.38 ms | p=(  178.70  -202.82 -10.28) v=11.37 m/s [KF]
[lio] t=1317401051.179 | feat 3844/61633 | map  13472 | icp ok  iter  9 corr  3843 rms 0.2145   34.36 ms | p=(  178.54  -201.64 -10.18) v=11.40 m/s [KF]
[lio] t=1317401051.283 | feat 3842/61729 | map  13419 | icp ok  iter  7 corr  3841 rms 0.1963   26.36 ms | p=(  178.39  -200.46 -10.08) v=11.42 m/s [KF]
[lio] t=1317401051.387 | feat 3864/61799 | map  13265 | icp ok  iter  6 corr  3860 rms 0.1951   24.27 ms | p=(  178.23  -199.27  -9.98) v=11.45 m/s [KF]
[lio] t=1317401051.491 | feat 3855/61610 | map  13059 | icp ok  iter 10 corr  3855 rms 0.2202   33.21 ms | p=(  178.07  -198.10  -9.89) v=11.35 m/s [KF]
[lio] t=1317401051.595 | feat 3833/61637 | map  12930 | icp ok  iter 13 corr  3833 rms 0.2196   45.41 ms | p=(  177.90  -196.93  -9.79) v=11.37 m/s [KF]
[lio] t=1317401051.699 | feat 3802/61802 | map  12919 | icp ok  iter 17 corr  3800 rms 0.1944   59.69 ms | p=(  177.74  -195.73  -9.70) v=11.49 m/s [KF]
[lio] t=1317401051.802 | feat 3790/61632 | map  12898 | icp ok  iter  9 corr  3789 rms 0.2149   32.68 ms | p=(  177.58  -194.53  -9.61) v=11.53 m/s [KF]
[lio] t=1317401051.906 | feat 3705/61454 | map  12868 | icp ok  iter  5 corr  3703 rms 0.2686   18.89 ms | p=(  177.42  -193.36  -9.52) v=11.38 m/s [KF]
[lio] t=1317401052.010 | feat 3639/61076 | map  12815 | icp ok  iter 11 corr  3633 rms 0.2555   42.20 ms | p=(  177.26  -192.15  -9.43) v=11.60 m/s [KF]
[lio] t=1317401052.114 | feat 3554/60332 | map  12707 | icp ok  iter  9 corr  3554 rms 0.2299   31.96 ms | p=(  177.10  -190.98  -9.34) v=11.44 m/s [KF]
[lio] t=1317401052.218 | feat 3554/59889 | map  12526 | icp ok  iter  9 corr  3553 rms 0.2094   28.34 ms | p=(  176.95  -189.81  -9.26) v=11.33 m/s [KF]
[lio] t=1317401052.322 | feat 3525/59411 | map  12405 | icp ok  iter  8 corr  3522 rms 0.2139   32.01 ms | p=(  176.79  -188.62  -9.16) v=11.45 m/s [KF]
[lio] t=1317401052.425 | feat 3386/56671 | map  12342 | icp ok  iter  6 corr  3386 rms 0.3069   21.09 ms | p=(  176.63  -187.44  -9.08) v=11.42 m/s [KF]
[lio] t=1317401052.529 | feat 3312/50854 | map  12259 | icp ok  iter 10 corr  3311 rms 0.3256   32.44 ms | p=(  176.48  -186.24  -8.99) v=11.51 m/s [KF]
[lio] t=1317401052.633 | feat 3314/46416 | map  12217 | icp ok  iter  5 corr  3314 rms 0.2625   16.26 ms | p=(  176.32  -185.06  -8.91) v=11.42 m/s [KF]
[lio] t=1317401052.737 | feat 3268/43573 | map  12109 | icp ok  iter  6 corr  3268 rms 0.2593   18.03 ms | p=(  176.16  -183.89  -8.82) v=11.32 m/s [KF]
[lio] t=1317401052.841 | feat 3329/44679 | map  12155 | icp ok  iter  6 corr  3327 rms 0.2501   21.78 ms | p=(  176.00  -182.72  -8.72) v=11.35 m/s [KF]
[lio] t=1317401052.944 | feat 3325/49421 | map  12176 | icp ok  iter  7 corr  3317 rms 0.3030   22.65 ms | p=(  175.84  -181.55  -8.63) v=11.35 m/s [KF]
[lio] t=1317401053.048 | feat 3392/53329 | map  12209 | icp ok  iter 12 corr  3392 rms 0.2448   42.81 ms | p=(  175.67  -180.35  -8.54) v=11.46 m/s [KF]
[lio] t=1317401053.152 | feat 3393/57290 | map  12137 | icp ok  iter 10 corr  3386 rms 0.2470   31.50 ms | p=(  175.52  -179.18  -8.46) v=11.32 m/s [KF]
[lio] t=1317401053.256 | feat 3408/59230 | map  12052 | icp ok  iter 11 corr  3400 rms 0.2973   33.61 ms | p=(  175.36  -178.03  -8.39) v=11.22 m/s [KF]
[lio] t=1317401053.360 | feat 3458/59653 | map  12059 | icp ok  iter 11 corr  3453 rms 0.2761   37.69 ms | p=(  175.19  -176.85  -8.31) v=11.31 m/s [KF]
[lio] t=1317401053.463 | feat 3481/60061 | map  12139 | icp ok  iter  9 corr  3477 rms 0.2249   28.60 ms | p=(  175.04  -175.69  -8.22) v=11.27 m/s [KF]
[lio] t=1317401053.567 | feat 3497/60179 | map  12159 | icp ok  iter 14 corr  3496 rms 0.2360   47.83 ms | p=(  174.88  -174.52  -8.14) v=11.31 m/s [KF]
[lio] t=1317401053.671 | feat 3563/60050 | map  12204 | icp ok  iter 10 corr  3563 rms 0.2652   34.95 ms | p=(  174.71  -173.34  -8.06) v=11.32 m/s [KF]
[lio] t=1317401053.775 | feat 3563/59391 | map  12244 | icp ok  iter 15 corr  3562 rms 0.2738   51.51 ms | p=(  174.56  -172.17  -7.99) v=11.30 m/s [KF]
[lio] t=1317401053.879 | feat 3599/57494 | map  12332 | icp ok  iter 15 corr  3597 rms 0.2903   56.07 ms | p=(  174.39  -170.96  -7.91) v=11.58 m/s [KF]
[lio] t=1317401053.982 | feat 3679/55576 | map  12469 | icp ok  iter 15 corr  3676 rms 0.3106   48.05 ms | p=(  174.24  -169.78  -7.83) v=11.44 m/s [KF]
[lio] t=1317401054.086 | feat 3789/53466 | map  12617 | icp ok  iter 14 corr  3789 rms 0.2752   53.08 ms | p=(  174.08  -168.64  -7.75) v=11.19 m/s [KF]
[lio] t=1317401054.190 | feat 3854/52924 | map  12801 | icp ok  iter 24 corr  3854 rms 0.2453  101.28 ms | p=(  173.92  -167.43  -7.66) v=11.54 m/s [KF]
[lio] t=1317401054.294 | feat 3887/52985 | map  12965 | icp ok  iter  8 corr  3887 rms 0.2396   29.54 ms | p=(  173.76  -166.25  -7.59) v=11.44 m/s [KF]
[lio] t=1317401054.398 | feat 3861/52920 | map  13071 | icp ok  iter  6 corr  3859 rms 0.2429   24.02 ms | p=(  173.59  -165.09  -7.51) v=11.31 m/s [KF]
[lio] t=1317401054.501 | feat 3807/53928 | map  13080 | icp ok  iter 10 corr  3805 rms 0.2665   37.94 ms | p=(  173.45  -163.91  -7.44) v=11.37 m/s [KF]
[lio] t=1317401054.605 | feat 3744/55311 | map  13102 | icp ok  iter 10 corr  3744 rms 0.2288   37.68 ms | p=(  173.29  -162.76  -7.38) v=11.22 m/s [KF]
[lio] t=1317401054.709 | feat 3754/55133 | map  13199 | icp ok  iter 11 corr  3753 rms 0.2245   38.20 ms | p=(  173.14  -161.60  -7.30) v=11.22 m/s [KF]
[lio] t=1317401054.813 | feat 3733/56192 | map  13185 | icp ok  iter 10 corr  3733 rms 0.2357   45.07 ms | p=(  172.97  -160.37  -7.22) v=11.64 m/s [KF]
[lio] t=1317401054.917 | feat 3776/57796 | map  13190 | icp ok  iter  9 corr  3773 rms 0.2471   38.77 ms | p=(  172.82  -159.22  -7.16) v=11.28 m/s [KF]
[lio] t=1317401055.021 | feat 3738/58824 | map  13056 | icp ok  iter  6 corr  3734 rms 0.2455   21.85 ms | p=(  172.66  -158.06  -7.10) v=11.23 m/s [KF]
[lio] t=1317401055.124 | feat 3597/59095 | map  12963 | icp ok  iter  5 corr  3597 rms 0.2879   18.21 ms | p=(  172.49  -156.91  -7.04) v=11.18 m/s [KF]
[lio] t=1317401055.228 | feat 3667/59094 | map  13007 | icp ok  iter 12 corr  3667 rms 0.3087   39.35 ms | p=(  172.33  -155.75  -6.98) v=11.20 m/s [KF]
[lio] t=1317401055.332 | feat 3550/58798 | map  13149 | icp ok  iter  8 corr  3550 rms 0.2182   35.15 ms | p=(  172.17  -154.57  -6.91) v=11.35 m/s [KF]
[lio] t=1317401055.436 | feat 3602/59030 | map  13248 | icp ok  iter 21 corr  3582 rms 0.2471   67.92 ms | p=(  172.01  -153.43  -6.85) v=11.20 m/s [KF]
[lio] t=1317401055.539 | feat 3605/59007 | map  13287 | icp ok  iter 41 corr  3605 rms 0.2504  173.99 ms | p=(  171.89  -152.53  -6.80) v=9.65 m/s
[lio] t=1317401055.643 | feat 3464/56199 | map  13287 | icp ok  iter 19 corr  3446 rms 0.4105   77.28 ms | p=(  171.71  -151.39  -6.75) v=10.50 m/s [KF]
[lio] t=1317401055.747 | feat 3340/53306 | map  13457 | icp ok  iter 25 corr  3333 rms 0.2770   87.76 ms | p=(  171.55  -150.24  -6.68) v=10.88 m/s [KF]
[lio] t=1317401055.851 | feat 3291/50513 | map  13398 | icp ok  iter  9 corr  3288 rms 0.2514   31.00 ms | p=(  171.39  -149.14  -6.62) v=10.77 m/s [KF]
[lio] t=1317401055.955 | feat 3138/47495 | map  13372 | icp ok  iter 42 corr  3137 rms 0.2881  154.81 ms | p=(  171.27  -148.23  -6.56) v=9.57 m/s
[lio] t=1317401056.058 | feat 2998/47453 | map  13372 | icp ok  iter 33 corr  2995 rms 0.4281  111.69 ms | p=(  171.11  -147.09  -6.50) v=10.48 m/s [KF]
[lio] t=1317401056.162 | feat 2961/49684 | map  13516 | icp ok  iter 24 corr  2956 rms 0.3954   80.29 ms | p=(  170.94  -145.87  -6.44) v=11.26 m/s [KF]
[lio] t=1317401056.266 | feat 2902/51860 | map  13713 | icp ok  iter  9 corr  2869 rms 0.3781   22.97 ms | p=(  170.78  -144.73  -6.38) v=11.12 m/s [KF]
[lio] t=1317401056.370 | feat 2981/53376 | map  13869 | icp ok  iter 14 corr  2980 rms 0.3198   36.27 ms | p=(  170.62  -143.60  -6.32) v=11.02 m/s [KF]
[lio] t=1317401056.474 | feat 3026/53016 | map  13949 | icp ok  iter 18 corr  3025 rms 0.2219   54.44 ms | p=(  170.45  -142.42  -6.24) v=11.27 m/s [KF]
[lio] t=1317401056.577 | feat 3081/52023 | map  13910 | icp ok  iter  6 corr  3079 rms 0.2396   16.89 ms | p=(  170.28  -141.27  -6.17) v=11.21 m/s [KF]
[lio] t=1317401056.681 | feat 3116/50741 | map  13992 | icp ok  iter  7 corr  3116 rms 0.2443   23.44 ms | p=(  170.11  -140.11  -6.10) v=11.25 m/s [KF]
[lio] t=1317401056.785 | feat 3192/50371 | map  13999 | icp ok  iter 11 corr  3189 rms 0.2396   38.56 ms | p=(  169.93  -138.92  -6.04) v=11.41 m/s [KF]
[lio] t=1317401056.889 | feat 3235/51586 | map  13908 | icp ok  iter 50 corr  3235 rms 0.2922  159.61 ms | p=(  169.77  -137.82  -5.99) v=10.92 m/s [KF]
[lio] t=1317401056.992 | feat 3163/51652 | map  13950 | icp ok  iter 35 corr  3159 rms 0.3296  112.00 ms | p=(  169.60  -136.65  -5.94) v=11.18 m/s [KF]
[lio] t=1317401057.096 | feat 3130/50198 | map  13946 | icp ok  iter 25 corr  3130 rms 0.2760   84.93 ms | p=(  169.43  -135.41  -5.87) v=11.70 m/s [KF]
